t_s,x_mm,y_mm,vx_mm_s,vy_mm_s,theta_deg,omega_deg_s
0.03333333333333333,633.9285714285714,510.0,0.0,0.0,90.0,0.0
0.06666666666666667,633.9285714285714,510.0,0.0,0.0,90.0,0.0
0.1,633.201642717634,511.23892647879467,-21.807861328124996,37.16779436383928,41.18592071533203,-1464.4223785400388
0.13333333333333333,,,,,,
0.16666666666666669,,,,,,
0.2,,,,,,
0.23333333333333334,,,,,,
0.26666666666666666,,,,,,
0.30000000000000004,,,,,,
0.33333333333333337,,,,,,
0.3666666666666667,,,,,,
0.4,,,,,,
0.43333333333333335,,,,,,
0.4666666666666667,,,,,,
0.5,,,,,,
0.5333333333333333,,,,,,
0.5666666666666667,,,,,,
0.6000000000000001,,,,,,
0.6333333333333334,,,,,,
0.6666666666666667,,,,,,
0.7000000000000001,,,,,,
0.7333333333333334,,,,,,
0.7666666666666667,,,,,,
0.8,,,,,,
0.8333333333333334,,,,,,
0.8666666666666667,,,,,,
0.9,,,,,,
0.9333333333333333,,,,,,
0.9666666666666667,,,,,,
1.0,,,,,,
1.0333333333333334,,,,,,
1.0666666666666667,,,,,,
1.1,,,,,,
1.1333333333333333,,,,,,
1.1666666666666667,,,,,,
1.2000000000000002,,,,,,
1.2333333333333334,,,,,,
1.2666666666666668,,,,,,
1.3,,,,,,
1.3333333333333335,,,,,,
1.3666666666666667,,,,,,
1.4000000000000001,,,,,,
1.4333333333333333,,,,,,
1.4666666666666668,,,,,,
1.5,,,,,,
1.5333333333333334,,,,,,
1.5666666666666669,,,,,,
1.6,,,,,,
1.6333333333333335,,,,,,
1.6666666666666667,,,,,,
1.7000000000000002,,,,,,
1.7333333333333334,,,,,,
1.7666666666666668,,,,,,
1.8,,,,,,
1.8333333333333335,,,,,,
1.8666666666666667,,,,,,
1.9000000000000001,,,,,,
1.9333333333333333,,,,,,
1.9666666666666668,,,,,,
2.0,,,,,,
2.0333333333333337,,,,,,
2.066666666666667,,,,,,
2.1,,,,,,
2.1333333333333333,,,,,,
2.166666666666667,,,,,,
2.2,,,,,,
2.2333333333333334,,,,,,
2.2666666666666666,,,,,,
2.3000000000000003,,,,,,
2.3333333333333335,,,,,,
2.3666666666666667,,,,,,
2.4000000000000004,,,,,,
2.4333333333333336,,,,,,
2.466666666666667,236.7747061593192,511.9834681919643,-167.50433939083723,0.3145950900716801,-15.255119323730469,-23.84832677706866
2.5,238.57142857142858,511.07142857142856,53.90167236328144,-27.361188616071527,0.0,457.6535797119157
2.5333333333333337,,,,,,
2.566666666666667,,,,,,
2.6,,,,,,
2.6333333333333333,,,,,,
2.666666666666667,,,,,,
2.7,,,,,,
2.7333333333333334,,,,,,
2.766666666666667,,,,,,
2.8000000000000003,,,,,,
2.8333333333333335,,,,,,
2.8666666666666667,,,,,,
2.9000000000000004,,,,,,
